group,amount_2025_b,share_pct_total,avg_trend_pct,items
Accelerators & compute,123.66999999999997,41.49999999999999,54.49116279069768,20
HBM,49.17,16.5,131.69191919191917,10
Networking & interconnect,26.82,9.0,55.593814432989696,15
Host CPUs & support silicon,22.349999999999998,7.5,31.724999999999994,10
Storage,17.88,6.0,28.74,10
Standard memory,17.88,6.0,42.84,10
"Advanced packaging, substrates & test",16.39,5.5,39.199999999999996,10
Optics & photonics,13.41,4.5,69.04,10
"Power, cooling, mechanicals & integration",10.430000000000001,3.5000000000000004,37.9,5
