alpha_lens,company_count,avg_unified_score,top_rank,top_ticker,top_name,both_bundle_count,cpo_only_count,broad_only_count
Wafer equipment and process tools,4,78.5,5,VECO,Veeco Instruments,2,1,1
"Test, probe and yield control",11,75.0,2,CAMT,Camtek,9,1,1
Substrate and materials constraint,22,68.2,1,PLAB,Photronics,16,1,5
Optics / CPO leverage,19,66.3,6,LASR,nLIGHT,10,4,5
"Foundry, ASIC and design enablement",19,65.1,3,SKYT,SkyWater Technology,14,2,3
Advanced packaging bottleneck,8,62.8,7,AMKR,Amkor Technology,4,2,2
Memory and AI-server pull,6,54.7,32,RMBS,Rambus,4,1,1
Semiconductor infrastructure,31,49.2,48,LSCC,Lattice Semiconductor,21,8,2
