symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_currency,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
000150.KS,000150.KS,Doosan,robotics,True,,KRW,1531000.0,781000.0,100.66,KRW,29524000000000.0,20666800000.0,2026-06-23T06:30:27+00:00,2026-06-23,https://finance.yahoo.com/quote/000150.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000150.KS?range=ytd&interval=1d,
000660.KS,000660,SK hynix,beneficiaries;bottleneck-sectors;carbon-vs-silicon;companies;market-snapshot;semiconductor-ai-nodes;semiconductor-alpha-cpo;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,KRW,2555000.0,651000.0,277.4,KRW,1426099000000000.0,998269300000.0,2026-06-23T06:30:02+00:00,2026-06-23,https://finance.yahoo.com/quote/000660.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000660.KS?range=ytd&interval=1d,
000990.KS,000990.KS,DB HiTek,semiconductor-ai-nodes,True,,KRW,151100.0,67600.0,105.02,KRW,7324796568000.0,5127357597.6,2026-06-23T06:30:30+00:00,2026-06-23,https://finance.yahoo.com/quote/000990.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000990.KS?range=ytd&interval=1d,
001820.KS,001820,Samwha Capacitor,ai-passives,True,,KRW,142000.0,29250.0,370.98,KRW,1735965000000.0,1215175500.0,2026-06-23T06:30:12+00:00,2026-06-23,https://finance.yahoo.com/quote/001820.KS/,https://query1.finance.yahoo.com/v8/finance/chart/001820.KS?range=ytd&interval=1d,
002050.SZ,002050.SZ,Zhejiang Sanhua Intelligent Controls,robotics,True,,CNY,43.19,55.31,-23.26,CNY,179766649139.0,26515580748.0,2026-06-23T07:04:30+00:00,2026-06-23,https://finance.yahoo.com/quote/002050.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002050.SZ?range=ytd&interval=1d,
002156.SZ,002156.SZ,Tongfu Microelectronics,semiconductor-ai-nodes,True,,CNY,68.42,37.7,73.04,CNY,108128779980.0,15948995047.05,2026-06-23T07:04:54+00:00,2026-06-23,https://finance.yahoo.com/quote/002156.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002156.SZ?range=ytd&interval=1d,
002281.SZ,002281,Accelink Technologies,companies,True,,CNY,266.9,69.95,276.82,CNY,228474155691.0,33699937964.42,2026-06-23T07:04:12+00:00,2026-06-23,https://finance.yahoo.com/quote/002281.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002281.SZ?range=ytd&interval=1d,
002371.SZ,002371.SZ,002371.SZ,beneficiaries;market-snapshot;semiconductor-alpha-cpo,True,,CNY,747.49,459.08,57.53,CNY,540000298920.0,79650044090.7,2026-06-23T07:04:30+00:00,2026-06-23,https://finance.yahoo.com/quote/002371.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002371.SZ?range=ytd&interval=1d,
002472.SZ,002472.SZ,Zhejiang Shuanghuan Driveline,robotics,True,,CNY,40.56,47.41,-13.7,CNY,35790741458.0,5279134365.05,2026-06-23T07:04:51+00:00,2026-06-23,https://finance.yahoo.com/quote/002472.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002472.SZ?range=ytd&interval=1d,
002600.SZ,002600.SZ,Lingyi iTech Guangdong,robotics,True,,CNY,16.05,15.54,0.75,CNY,121900753982.0,17980361212.34,2026-06-23T07:04:21+00:00,2026-06-23,https://finance.yahoo.com/quote/002600.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002600.SZ?range=ytd&interval=1d,
002979.SZ,002979.SZ,China Leadshine Technology,robotics,True,,CNY,53.89,42.07,28.04,CNY,16828646577.0,2482225370.11,2026-06-23T07:04:36+00:00,2026-06-23,https://finance.yahoo.com/quote/002979.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002979.SZ?range=ytd&interval=1d,
