symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_currency,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
000660.KS,000660,SK hynix,beneficiaries;bottleneck-sectors;carbon-vs-silicon;companies;market-snapshot;semiconductor-ai-nodes;semiconductor-alpha-cpo;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,KRW,1654000.0,651000.0,144.31,KRW,1025478962004000.0,717835273402.8,2026-05-07T06:30:25+00:00,2026-05-07,https://finance.yahoo.com/quote/000660.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000660.KS?range=ytd&interval=1d,
000990.KS,000990.KS,DB HiTek,semiconductor-ai-nodes,True,,KRW,157500.0,67600.0,113.7,KRW,6508036434900.0,4555625504.43,2026-05-07T06:30:21+00:00,2026-05-07,https://finance.yahoo.com/quote/000990.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000990.KS?range=ytd&interval=1d,
001820.KS,001820,Samwha Capacitor,ai-passives,True,,KRW,67900.0,29250.0,125.21,KRW,701852400000.0,491296680.0,2026-05-07T06:30:07+00:00,2026-05-07,https://finance.yahoo.com/quote/001820.KS/,https://query1.finance.yahoo.com/v8/finance/chart/001820.KS?range=ytd&interval=1d,
002156.SZ,002156.SZ,Tongfu Microelectronics,semiconductor-ai-nodes,True,,CNY,59.08,37.7,49.42,CNY,78565992134.0,11549200843.7,2026-05-07T07:04:21+00:00,2026-05-07,https://finance.yahoo.com/quote/002156.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002156.SZ?range=ytd&interval=1d,
002281.SZ,002281,Accelink Technologies,companies,True,,CNY,164.29,69.95,131.95,CNY,116387177498.0,17108915092.21,2026-05-07T07:04:24+00:00,2026-05-07,https://finance.yahoo.com/quote/002281.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002281.SZ?range=ytd&interval=1d,
002371.SZ,002371.SZ,002371.SZ,beneficiaries;market-snapshot;semiconductor-alpha-cpo,True,,CNY,552.14,459.08,16.36,CNY,389227866465.0,57216496370.35,2026-05-07T07:04:15+00:00,2026-05-07,https://finance.yahoo.com/quote/002371.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002371.SZ?range=ytd&interval=1d,
005380.KS,005380.KS,Hyundai Motor,robotics,True,,KRW,572000.0,296500.0,91.62,KRW,123895897179500.0,86727128025.65,2026-05-07T06:30:12+00:00,2026-05-07,https://finance.yahoo.com/quote/005380.KS/,https://query1.finance.yahoo.com/v8/finance/chart/005380.KS?range=ytd&interval=1d,
005930.KS,005930,Samsung Electronics,beneficiaries;bottleneck-sectors;companies;market-snapshot;semiconductor-ai-nodes;semiconductor-alpha-cpo;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,KRW,271500.0,119900.0,111.28,KRW,1476256773476300.0,1033379741433.41,2026-05-07T06:30:02+00:00,2026-05-07,https://finance.yahoo.com/quote/005930.KS/,https://query1.finance.yahoo.com/v8/finance/chart/005930.KS?range=ytd&interval=1d,
009150.KS,009150.KS,009150.KS,ai-passives;bottleneck-sectors;market-snapshot,True,,KRW,917000.0,255000.0,239.63,KRW,67805749232000.0,47464024462.4,2026-05-07T06:30:03+00:00,2026-05-07,https://finance.yahoo.com/quote/009150.KS/,https://query1.finance.yahoo.com/v8/finance/chart/009150.KS?range=ytd&interval=1d,
010120.KS,010120.KS,LS Electric,ai-passives;latent-ai-nodes,True,,KRW,318500.0,92000.0,223.35,KRW,43715581770000.0,30600907239.0,2026-05-07T06:30:10+00:00,2026-05-07,https://finance.yahoo.com/quote/010120.KS/,https://query1.finance.yahoo.com/v8/finance/chart/010120.KS?range=ytd&interval=1d,
034020.KS,034020.KS,034020.KS,bottleneck-sectors;market-snapshot,True,,KRW,136400.0,75300.0,81.38,KRW,81297694449600.0,56908386114.72,2026-05-07T06:30:18+00:00,2026-05-07,https://finance.yahoo.com/quote/034020.KS/,https://query1.finance.yahoo.com/v8/finance/chart/034020.KS?range=ytd&interval=1d,
042700.KQ,042700.KQ,Hanmi Semiconductor,semiconductor-ai-nodes,True,,KRW,151000.0,127400.0,4.5,KRW,35854434756000.0,25098104329.2,2024-07-19T20:00:00+00:00,2026-05-07,https://finance.yahoo.com/quote/042700.KQ/,https://query1.finance.yahoo.com/v8/finance/chart/042700.KQ?range=ytd&interval=1d,
042700.KS,042700.KS,042700.KS,bottleneck-sectors;market-snapshot;semiconductor-alpha-cpo,True,,KRW,393000.0,127400.0,171.97,KRW,35854434756000.0,25098104329.2,2026-05-07T06:30:07+00:00,2026-05-07,https://finance.yahoo.com/quote/042700.KS/,https://query1.finance.yahoo.com/v8/finance/chart/042700.KS?range=ytd&interval=1d,
0522.HK,0522.HK,0522.HK,bottleneck-sectors;market-snapshot;semiconductor-alpha-cpo,True,,HKD,177.2,77.7,118.23,HKD,68981715973.0,8808965129.75,2026-05-07T08:08:09+00:00,2026-05-07,https://finance.yahoo.com/quote/0522.HK/,https://query1.finance.yahoo.com/v8/finance/chart/0522.HK?range=ytd&interval=1d,
084370.KQ,084370.KQ,Eugene Technology,semiconductor-ai-nodes,True,,KRW,146900.0,75000.0,71.61,KRW,2985991404000.0,2090193982.8,2026-05-07T06:30:25+00:00,2026-05-07,https://finance.yahoo.com/quote/084370.KQ/,https://query1.finance.yahoo.com/v8/finance/chart/084370.KQ?range=ytd&interval=1d,
0981.HK,0981.HK,0981.HK,beneficiaries;market-snapshot;semiconductor-alpha-cpo,True,,HKD,76.75,71.35,2.2,HKD,698141536002.0,89152674147.46,2026-05-07T08:08:09+00:00,2026-05-07,https://finance.yahoo.com/quote/0981.HK/,https://query1.finance.yahoo.com/v8/finance/chart/0981.HK?range=ytd&interval=1d,
1347.HK,1347.HK,1347.HK,beneficiaries;market-snapshot;semiconductor-alpha-cpo,True,,HKD,141.4,74.1,73.92,HKD,224216014431.0,28632385042.84,2026-05-07T08:08:09+00:00,2026-05-07,https://finance.yahoo.com/quote/1347.HK/,https://query1.finance.yahoo.com/v8/finance/chart/1347.HK?range=ytd&interval=1d,
2301.TW,2301,LITEON Technology,ai-passives;semiconductor-alpha-cpo,True,,TWD,203.5,163.5,21.86,TWD,389265898000.0,12417582146.2,2026-05-07T05:30:05+00:00,2026-05-07,https://finance.yahoo.com/quote/2301.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2301.TW?range=ytd&interval=1d,
2303.TW,2303.TW,UMC,signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,TWD,96.5,49.25,98.15,TWD,1021251171444.0,32577912369.06,2026-05-07T05:30:01+00:00,2026-05-07,https://finance.yahoo.com/quote/2303.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2303.TW?range=ytd&interval=1d,
2308.TW,2308,Delta Electronics,ai-passives;bottleneck-sectors;companies;latent-ai-nodes;market-snapshot,True,,TWD,2280.0,963.0,129.15,TWD,5766546190380.0,183952823473.12,2026-05-07T05:30:09+00:00,2026-05-07,https://finance.yahoo.com/quote/2308.TW/,https://query1.finance.yahoo.com/v8/finance/chart/2308.TW?range=ytd&interval=1d,
