symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_currency,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
6723.T,6723.T,Renesas Electronics,ai-passives;robotics;semiconductor-ai-nodes;semiconductor-alpha-cpo,True,,JPY,4455.0,2140.0,100.22,JPY,8013739831244.0,50486560936.84,2026-06-02T06:30:00+00:00,2026-06-02,https://finance.yahoo.com/quote/6723.T/,https://query1.finance.yahoo.com/v8/finance/chart/6723.T?range=ytd&interval=1d,
6752.T,6752,Panasonic Holdings,ai-passives,True,,JPY,3861.0,2023.5,85.76,JPY,8393000000000.0,52875900000.0,2026-06-03T00:07:24+00:00,2026-06-02,https://finance.yahoo.com/quote/6752.T/,https://query1.finance.yahoo.com/v8/finance/chart/6752.T?range=ytd&interval=1d,
6754.T,6754,Anritsu,companies,True,,JPY,4696.0,2244.5,105.24,JPY,610265398272.0,3844672009.11,2026-06-03T00:07:23+00:00,2026-06-02,https://finance.yahoo.com/quote/6754.T/,https://query1.finance.yahoo.com/v8/finance/chart/6754.T?range=ytd&interval=1d,
6762.T,6762,TDK,ai-passives;bottleneck-sectors;companies;market-snapshot,True,,JPY,3974.0,2211.0,76.62,JPY,7131000000000.0,44925300000.0,2026-06-03T00:07:24+00:00,2026-06-02,https://finance.yahoo.com/quote/6762.T/,https://query1.finance.yahoo.com/v8/finance/chart/6762.T?range=ytd&interval=1d,
6770.TW,6770.TW,Powerchip Semiconductor,semiconductor-ai-nodes;semiconductor-alpha-cpo,True,,TWD,85.9,39.55,104.04,TWD,302130000000.0,9607734000.0,2026-06-02T05:30:01+00:00,2026-06-02,https://finance.yahoo.com/quote/6770.TW/,https://query1.finance.yahoo.com/v8/finance/chart/6770.TW?range=ytd&interval=1d,
6777.T,6777.T,6777.T,bottleneck-sectors;market-snapshot,True,,JPY,25450.0,9130.0,178.14,JPY,298478444400.0,1880414199.72,2026-06-02T06:30:00+00:00,2026-06-02,https://finance.yahoo.com/quote/6777.T/,https://query1.finance.yahoo.com/v8/finance/chart/6777.T?range=ytd&interval=1d,
6817.T,6817,Sumida,ai-passives,True,,JPY,1520.0,1144.0,31.49,JPY,50343356934.0,317163148.68,2026-06-03T00:06:51+00:00,2026-06-02,https://finance.yahoo.com/quote/6817.T/,https://query1.finance.yahoo.com/v8/finance/chart/6817.T?range=ytd&interval=1d,
6841.T,6841.T,Yokogawa Electric,latent-ai-nodes,True,,JPY,5271.0,5016.0,2.15,JPY,1292748219259.0,8144313781.33,2026-06-03T00:07:25+00:00,2026-06-02,https://finance.yahoo.com/quote/6841.T/,https://query1.finance.yahoo.com/v8/finance/chart/6841.T?range=ytd&interval=1d,
6845.T,6845.T,Azbil,latent-ai-nodes,True,,JPY,1670.5,1422.5,17.35,JPY,850196865362.0,5356240251.78,2026-06-03T00:07:23+00:00,2026-06-02,https://finance.yahoo.com/quote/6845.T/,https://query1.finance.yahoo.com/v8/finance/chart/6845.T?range=ytd&interval=1d,
6857.T,6857,Advantest,beneficiaries;companies;market-snapshot;semiconductor-ai-nodes;semiconductor-alpha-cpo;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,JPY,27155.0,19635.0,28.24,JPY,18624287526975.0,117333011419.94,2026-06-03T00:07:25+00:00,2026-06-02,https://finance.yahoo.com/quote/6857.T/,https://query1.finance.yahoo.com/v8/finance/chart/6857.T?range=ytd&interval=1d,
6861.T,6861.T,Keyence,robotics,True,,JPY,79150.0,56680.0,38.42,JPY,19455366409920.0,122568808382.5,2026-06-03T00:16:38+00:00,2026-06-02,https://finance.yahoo.com/quote/6861.T/,https://query1.finance.yahoo.com/v8/finance/chart/6861.T?range=ytd&interval=1d,
6869.HK,6869,YOFC,companies,True,,HKD,232.8,51.7,344.27,HKD,260911988763.0,33292369766.16,2026-06-02T08:08:45+00:00,2026-06-02,https://finance.yahoo.com/quote/6869.HK/,https://query1.finance.yahoo.com/v8/finance/chart/6869.HK?range=ytd&interval=1d,
688012.SS,688012.SS,688012.SS,beneficiaries;market-snapshot;semiconductor-alpha-cpo,True,,CNY,282.8,183.034,35.35,CNY,255793625451.0,37831877204.2,2026-06-02T07:00:01+00:00,2026-06-02,https://finance.yahoo.com/quote/688012.SS/,https://query1.finance.yahoo.com/v8/finance/chart/688012.SS?range=ytd&interval=1d,
688017.SS,688017.SS,Leader Harmonious Drive Systems,robotics,True,,CNY,306.0,192.1,60.16,CNY,56099000000.0,8297042100.0,2026-06-02T07:00:02+00:00,2026-06-02,https://finance.yahoo.com/quote/688017.SS/,https://query1.finance.yahoo.com/v8/finance/chart/688017.SS?range=ytd&interval=1d,
