symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
QCOM,QCOM,Qualcomm,robotics,True,,USD,177.035,171.05,2.34,186595000000.0,186595000000.0,2026-05-01T20:00:05+00:00,2026-05-04,https://finance.yahoo.com/quote/QCOM/,https://query1.finance.yahoo.com/v8/finance/chart/QCOM?range=ytd&interval=1d,
REHN.SW,REHN.SW,Romande Energie,scaling,True,,CHF,52.2,43.4,20.83,,,2026-05-04T07:01:44+00:00,2026-05-04,https://finance.yahoo.com/quote/REHN.SW/,https://query1.finance.yahoo.com/v8/finance/chart/REHN.SW?range=ytd&interval=1d,
RMBS,RMBS,RMBS,ai-passives;beneficiaries;bottleneck-sectors;market-snapshot,True,,USD,111.93,91.89,12.74,12131000000.0,12131000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/RMBS/,https://query1.finance.yahoo.com/v8/finance/chart/RMBS?range=ytd&interval=1d,
ROG,ROG,Rogers Corp,ai-passives,True,,USD,134.44,91.57,46.18,,,2026-05-01T20:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/ROG/,https://query1.finance.yahoo.com/v8/finance/chart/ROG?range=ytd&interval=1d,
RR.L,RR.L,RR.L,bottleneck-sectors;market-snapshot,True,,GBp,1199.2,1150.0,0.18,,,2026-05-01T18:14:39+00:00,2026-05-04,https://finance.yahoo.com/quote/RR.L/,https://query1.finance.yahoo.com/v8/finance/chart/RR.L?range=ytd&interval=1d,
RRX,RRX,Regal Rexnord,ai-passives,True,,USD,213.02,140.32,45.8,,,2026-05-01T20:00:02+00:00,2026-05-04,https://finance.yahoo.com/quote/RRX/,https://query1.finance.yahoo.com/v8/finance/chart/RRX?range=ytd&interval=1d,
SANM,SANM,SANM,ai-passives;bottleneck-sectors;market-snapshot,True,,USD,223.27,150.07,40.17,11675000000.0,11675000000.0,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/SANM/,https://query1.finance.yahoo.com/v8/finance/chart/SANM?range=ytd&interval=1d,
SCT.NZ,SCT.NZ,Scott Technology,scaling,True,,NZD,2.25,2.91,-22.15,,,2026-05-04T02:19:29+00:00,2026-05-04,https://finance.yahoo.com/quote/SCT.NZ/,https://query1.finance.yahoo.com/v8/finance/chart/SCT.NZ?range=ytd&interval=1d,
SENS.SW,SENS.SW,Sensirion Holding,scaling,True,,CHF,69.0,61.6,11.29,,,2026-05-04T09:06:43+00:00,2026-05-04,https://finance.yahoo.com/quote/SENS.SW/,https://query1.finance.yahoo.com/v8/finance/chart/SENS.SW?range=ytd&interval=1d,
SERV,SERV,Serve Robotics,robotics;scaling,True,,USD,9.4,10.38,-20.54,,,2026-05-01T20:00:00+00:00,2026-05-04,https://finance.yahoo.com/quote/SERV/,https://query1.finance.yahoo.com/v8/finance/chart/SERV?range=ytd&interval=1d,
SIE.DE,SIE,Siemens,companies,True,,EUR,254.1,239.15,5.39,,,2026-05-04T09:17:03+00:00,2026-05-04,https://finance.yahoo.com/quote/SIE.DE/,https://query1.finance.yahoo.com/v8/finance/chart/SIE.DE?range=ytd&interval=1d,
