symbol,display,company,pages,ok,listing_status,currency,price,previous_close,ytd_return_pct,market_cap_currency,market_cap_local,market_cap_usd,market_time,as_of,quote_url,chart_url,error
000150.KS,000150.KS,Doosan,robotics,True,,KRW,1918000.0,781000.0,151.38,KRW,32497732853000.0,22748412997.1,2026-06-02T06:30:15+00:00,2026-06-03,https://finance.yahoo.com/quote/000150.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000150.KS?range=ytd&interval=1d,
000660.KS,000660,SK hynix,beneficiaries;bottleneck-sectors;carbon-vs-silicon;companies;market-snapshot;semiconductor-ai-nodes;semiconductor-alpha-cpo;signals:twitter_ai_stock_report_2026_04_09;signals:twitter_ai_stock_report_2026_04_14,True,,KRW,2360000.0,651000.0,248.6,KRW,1677387107433000.0,1174170975203.1,2026-06-02T06:30:28+00:00,2026-06-03,https://finance.yahoo.com/quote/000660.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000660.KS?range=ytd&interval=1d,
000990.KS,000990.KS,DB HiTek,semiconductor-ai-nodes,True,,KRW,170100.0,67600.0,130.8,KRW,7300914095800.0,5110639867.06,2026-06-02T06:30:28+00:00,2026-06-03,https://finance.yahoo.com/quote/000990.KS/,https://query1.finance.yahoo.com/v8/finance/chart/000990.KS?range=ytd&interval=1d,
001820.KS,001820,Samwha Capacitor,ai-passives,True,,KRW,107700.0,29250.0,257.21,KRW,1169754000000.0,818827800.0,2026-06-02T06:30:18+00:00,2026-06-03,https://finance.yahoo.com/quote/001820.KS/,https://query1.finance.yahoo.com/v8/finance/chart/001820.KS?range=ytd&interval=1d,
002050.SZ,002050.SZ,Zhejiang Sanhua Intelligent Controls,robotics,True,,CNY,45.08,55.31,-19.9,CNY,178951017528.0,26431065288.89,2026-06-03T07:04:57+00:00,2026-06-03,https://finance.yahoo.com/quote/002050.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002050.SZ?range=ytd&interval=1d,
002156.SZ,002156.SZ,Tongfu Microelectronics,semiconductor-ai-nodes,True,,CNY,70.22,37.7,77.59,CNY,93165274427.0,13760511032.87,2026-06-03T07:04:57+00:00,2026-06-03,https://finance.yahoo.com/quote/002156.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002156.SZ?range=ytd&interval=1d,
002281.SZ,002281,Accelink Technologies,companies,True,,CNY,224.0,69.95,216.25,CNY,164803856133.0,24341529550.84,2026-06-03T07:04:45+00:00,2026-06-03,https://finance.yahoo.com/quote/002281.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002281.SZ?range=ytd&interval=1d,
002371.SZ,002371.SZ,002371.SZ,beneficiaries;market-snapshot;semiconductor-alpha-cpo,True,,CNY,614.84,459.08,29.57,CNY,427571511852.0,63152312300.54,2026-06-03T07:04:33+00:00,2026-06-03,https://finance.yahoo.com/quote/002371.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002371.SZ?range=ytd&interval=1d,
002472.SZ,002472.SZ,Zhejiang Shuanghuan Driveline,robotics,True,,CNY,40.24,47.41,-14.38,CNY,32960459599.0,4868259882.77,2026-06-03T07:04:39+00:00,2026-06-03,https://finance.yahoo.com/quote/002472.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002472.SZ?range=ytd&interval=1d,
002600.SZ,002600.SZ,Lingyi iTech Guangdong,robotics,True,,CNY,14.86,15.54,-6.72,CNY,109403734239.0,16158931547.1,2026-06-03T07:04:03+00:00,2026-06-03,https://finance.yahoo.com/quote/002600.SZ/,https://query1.finance.yahoo.com/v8/finance/chart/002600.SZ?range=ytd&interval=1d,
